A1 backend=tinker model=Qwen/Qwen3.8-27B strategy=full tasks=400 concurrency=16
41-47    error: error: tinker sampling failed after 3 attempts: Error code: 400 - {'detail': "Prompt length plus max_tokens exceeds the model's context window: 67513 prompt tokens + 24576 max_tokens > 65; direct fallback failed: tinker sampling failed after 3
279-23   ok
267-21   ok
60-7     ok
280-17   ok
28-7     ok
24-23    ok
269-43   ok
341-40   error: error: no code block in reply; direct fallback failed: no JSON in reply: "We need answer user's request: compute final values answer range A1:Q701 after instruction applied. Need output JSON onl"
290-1    ok
384-4    ok
283-32   ok
297-42   ok
455-35   error: error: tinker sampling failed after 3 attempts: Error code: 400 - {'detail': "Prompt length plus max_tokens exceeds the model's context window: 104396 prompt tokens + 24576 max_tokens > 6; direct fallback failed: tinker sampling failed after 3
262-17   ok
51-12    ok
17-35    ok
472-15   ok
333-29   ok
469-9    ok
269-44   ok
79-7     ok
493-18   ok
547-18   ok
304-35   ok
263-1    ok
80-42    error: error: no code block in reply; direct fallback failed: no JSON in reply: "We need answer user's request? Actually system says spreadsheet expert, given serialized workbook and instruction, compu"
82-30    ok
97-36    ok
82-38    ok
13-1     ok
477-45   ok
73-45    ok
267-18   ok
23-24    error: error: no code block in reply; direct fallback failed: no JSON in reply: "We need answer user's instruction? Actually task: Given workbook and instruction, compute final values answer range afte"
66-24    ok
61-4     ok
84-40    ok
156-14   ok
147-48   ok
91-34    ok
290-27   ok
165-23   ok
178-22   ok
142-19   ok
109-21   ok
168-17   ok
433-47   ok
157-4    ok
203-15   ok
177-6    ok
105-24   ok
236-22   ok
146-49   ok
208-20   ok
408-5    ok
142-12   ok
118-50   error: error: no code block in reply; direct fallback failed: no JSON in reply: 'We need answer JSON with cells C2:D5000 after applying instruction. Need compute final values. Need understand task. We '
188-39   ok
160-6    ok
